
DMA ADC to memory transfer.

 0 - Voltage: 1215 mV
 1 - Voltage: 32578 mV
 2 - Voltage: 995  mV
 3 - Voltage: 3299 mV
 4 - Voltage: 0    mV
 5 - Voltage: 671  mV
 6 - Voltage: 0    mV
 7 - Voltage: 0    mV
 8 - Voltage: 32578 mV
 9 - Voltage: 32578 mV



DMA ADC to memory transfer.

 0 - Voltage: 1013 mV
 1 - Voltage: 1061 mV
 2 - Voltage: 846  mV
 3 - Voltage: 784  mV
 4 - Voltage: 1019 mV
 5 - Voltage: 958  mV
 6 - Voltage: 789  mV
 7 - Voltage: 990  mV
 8 - Voltage: 1180 mV
 9 - Voltage: 1339 mV



DMA ADC to memory transfer.

 0 - Voltage: 1182 mV
 1 - Voltage: 1312 mV
 2 - Voltage: 1396 mV
 3 - Voltage: 1497 mV
 4 - Voltage: 1534 mV
 5 - Voltage: 1385 mV
 6 - Voltage: 1534 mV
 7 - Voltage: 1416 mV
 8 - Voltage: 1386 mV
 9 - Voltage: 1483 mV



DMA ADC to memory transfer.

 0 - Voltage: 1619 mV
 1 - Voltage: 1625 mV
 2 - Voltage: 1456 mV
 3 - Voltage: 1208 mV
 4 - Voltage: 1272 mV
 5 - Voltage: 1488 mV
 6 - Voltage: 1595 mV
 7 - Voltage: 1622 mV
 8 - Voltage: 1578 mV
 9 - Voltage: 1754 mV



DMA ADC to memory transfer.

 0 - Voltage: 1480 mV
 1 - Voltage: 1602 mV
 2 - Voltage: 1594 mV
 3 - Voltage: 1676 mV
 4 - Voltage: 1802 mV
 5 - Voltage: 1792 mV
 6 - Voltage: 1783 mV
 7 - Voltage: 1863 mV
 8 - Voltage: 1579 mV
 9 - Voltage: 1681 mV



DMA ADC to memory transfer.

 0 - Voltage: 1757 mV
 1 - Voltage: 1439 mV
 2 - Voltage: 1334 mV
 3 - Voltage: 1228 mV
 4 - Voltage: 1111 mV
 5 - Voltage: 1178 mV
 6 - Voltage: 1378 mV
 7 - Voltage: 1540 mV
 8 - Voltage: 1358 mV
 9 - Voltage: 1110 mV



DMA ADC to memory transfer.

 0 - Voltage: 1174 mV
 1 - Voltage: 1425 mV
