DMA ADC to memory transfer.


 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x20002fa0       0x00006358        25432           1280
   1	 0x20002fa4       0x00006fb8        28600           1440
   2	 0x20002fa8       0x00006358        25432           1280
   3	 0x20002fac       0x00006f6c        28524           1436
   4	 0x20002fb0       0x000064bd        25789           1298
   5	 0x20002fb4       0x00006ab8        27320           1375
   6	 0x20002fb8       0x00007808        30728           1547
   7	 0x20002fbc       0x0000695c        26972           1358
   8	 0x20002fc0       0x000057f8        22520           1133
   9	 0x20002fc4       0x00005262        21090           1061



DMA ADC to memory transfer.


 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x20002fa0       0x000045f8        17912           901
   1	 0x20002fa4       0x00004fea        20458           1030
   2	 0x20002fa8       0x00004b88        19336           973
   3	 0x20002fac       0x00005ccb        23755           1196
   4	 0x20002fb0       0x0000645c        25692           1293
   5	 0x20002fb4       0x00006de0        28128           1416
   6	 0x20002fb8       0x00006db9        28089           1414
   7	 0x20002fbc       0x00006fe0        28640           1442
   8	 0x20002fc0       0x00006338        25400           1278
   9	 0x20002fc4       0x00007007        28679           1444



DMA ADC to memory transfer.


 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x20002fa0       0x000061bb        25019           1259
   1	 0x20002fa4       0x000051ec        20972           1056
   2	 0x20002fa8       0x00004433        17459           879
   3	 0x20002fac       0x00005587        21895           1102
   4	 0x20002fb0       0x00005cb2        23730           1194
   5	 0x20002fb4       0x0000658f        25999           1309
   6	 0x20002fb8       0x00006848        26696           1344
   7	 0x20002fbc       0x00005b18        23320           1174
   8	 0x20002fc0       0x00006a6b        27243           1371
   9	 0x20002fc4       0x000076a8        30376           1529



DMA ADC to memory transfer.


 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x20002fa0       0x00006bd8        27608           1390
   1	 0x20002fa4       0x0000749b        29851           1503
   2	 0x20002fa8       0x000077b9        30649           1543
   3	 0x20002fac       0x0000692e        26926           1355
   4	 0x20002fb0       0x00005a3f        23103           1163
   5	 0x20002fb4       0x00004aa4        19108           962
   6	 0x20002fb8       0x00003fa8        16296           820
   7	 0x20002fbc       0x00003f48        16200           815
   8	 0x20002fc0       0x0000410f        16655           838
   9	 0x20002fc4       0x00003c5a        15450           777



DMA ADC to memory transfer.


 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x20002fa0       0x000050a8        20648           1039
   1	 0x20002fa4       0x00004918        18712           942
   2	 0x20002fa8       0x000041d8        16856           848
   3	 0x20002fac       0x00003a4c        14924           751
   4	 0x20002fb0       0x000033e4        13284           668
   5	 0x20002fb4       0x0000494c        18764           944
   6	 0x20002fb8       0x00004078        16504           831
   7	 0x20002fbc       0x00003f42        16194           815
   8	 0x20002fc0       0x00004026        16422           826
   9	 0x20002fc4       0x00003f1b        16155           813

Report for buffer size 10
