


DMA ADC to memory transfer.


 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x20002bc0       0x00004e4e        20046           1009
   1	 0x20002bc4       0x00005456        21590           1087
   2	 0x20002bc8       0x00006167        24935           1255
   3	 0x20002bcc       0x000051f2        20978           1056
   4	 0x20002bd0       0x000045b8        17848           898
   5	 0x20002bd4       0x00004fe0        20448           1029
   6	 0x20002bd8       0x00004b9a        19354           974
   7	 0x20002bdc       0x00005b5b        23387           1177
   8	 0x20002be0       0x000069fb        27131           1366
   9	 0x20002be4       0x00005608        22024           1108
   10	 0x20002be8       0x00005c26        23590           1187
   11	 0x20002bec       0x00006711        26385           1328
   12	 0x20002bf0       0x00005f70        24432           1230
   13	 0x20002bf4       0x00005794        22420           1128
   14	 0x20002bf8       0x00005270        21104           1062
   15	 0x20002bfc       0x00004438        17464           879
   16	 0x20002c00       0x000054a8        21672           1091
   17	 0x20002c04       0x00005fed        24557           1236
   18	 0x20002c08       0x00005601        22017           1108
   19	 0x20002c0c       0x00005c81        23681           1192
   20	 0x20002c10       0x000065e8        26088           1313
   21	 0x20002c14       0x0000695e        26974           1358
   22	 0x20002c18       0x00005741        22337           1124
   23	 0x20002c1c       0x00005350        21328           1073
   24	 0x20002c20       0x000062d8        25304           1274
   25	 0x20002c24       0x000070b8        28856           1453
   26	 0x20002c28       0x00005f1e        24350           1226
   27	 0x20002c2c       0x00005998        22936           1154
   28	 0x20002c30       0x00004b88        19336           973
   29	 0x20002c34       0x00005cdc        23772           1197
   30	 0x20002c38       0x000063f8        25592           1288
   31	 0x20002c3c       0x00006e48        28232           1421
   32	 0x20002c40       0x00006674        26228           1320
   33	 0x20002c44       0x000060d4        24788           1248
   34	 0x20002c48       0x00005363        21347           1074
   35	 0x20002c4c       0x00006389        25481           1283
   36	 0x20002c50       0x00006f38        28472           1433
   37	 0x20002c54       0x000063f8        25592           1288
   38	 0x20002c58       0x00006f08        28424           1431
   39	 0x20002c5c       0x00006550        25936           1305
   40	 0x20002c60       0x00006974        26996           1359
   41	 0x20002c64       0x00005998        22936           1154
   42	 0x20002c68       0x00004b4c        19276           970
   43	 0x20002c6c       0x00005e78        24184           1217
   44	 0x20002c70       0x00005a2c        23084           1162
   45	 0x20002c74       0x00004ba2        19362           974
   46	 0x20002c78       0x00005cd4        23764           1196
   47	 0x20002c7c       0x000064a5        25765           1297
   48	 0x20002c80       0x00006cd0        27856           1402
   49	 0x20002c84       0x000070d9        28889           1454
   50	 0x20002c88       0x00006033        24627           1240
   51	 0x20002c8c       0x0000566a        22122           1113
   52	 0x20002c90       0x00005ce0        23776           1197
   53	 0x20002c94       0x00006413        25619           1290
   54	 0x20002c98       0x00006ee8        28392           1429
   55	 0x20002c9c       0x0000658b        25995           1308
   56	 0x20002ca0       0x000069c0        27072           1363
   57	 0x20002ca4       0x000057a9        22441           1129
   58	 0x20002ca8       0x0000531d        21277           1071
   59	 0x20002cac       0x00006378        25464           1282
   60	 0x20002cb0       0x00006f26        28454           1432
   61	 0x20002cb4       0x00006514        25876           1302
   62	 0x20002cb8       0x00006b48        27464           1382
   63	 0x20002cbc       0x00007568        30056           1513
   64	 0x20002cc0       0x00007684        30340           1527
   65	 0x20002cc4       0x00006cf9        27897           1404
   66	 0x20002cc8       0x00006fba        28602           1440
   67	 0x20002ccc       0x0000648c        25740           1296
   68	 0x20002cd0       0x00006ab8        27320           1375
   69	 0x20002cd4       0x00007800        30720           1546
   70	 0x20002cd8       0x00006848        26696           1344
   71	 0x20002cdc       0x00005d5e        23902           1203
   72	 0x20002ce0       0x000063df        25567           1287
   73	 0x20002ce4       0x00006e88        28296           1424
   74	 0x20002ce8       0x00006538        25912           1304
   75	 0x20002cec       0x00006af3        27379           1378
   76	 0x20002cf0       0x0000753e        30014           1511
   77	 0x20002cf4       0x00007700        30464           1533
   78	 0x20002cf8       0x00006aa7        27303           1374
   79	 0x20002cfc       0x000077f8        30712           1546
   80	 0x20002d00       0x0000681d        26653           1342
   81	 0x20002d04       0x00005d98        23960           1206
   82	 0x20002d08       0x00006258        25176           1267
   83	 0x20002d0c       0x000050fb        20731           1043
   84	 0x20002d10       0x000046ec        18156           914
   85	 0x20002d14       0x000047b8        18360           924
   86	 0x20002d18       0x000044df        17631           887
   87	 0x20002d1c       0x000054ce        21710           1093
   88	 0x20002d20       0x00005de9        24041           1210
   89	 0x20002d24       0x00006334        25396           1278
   90	 0x20002d28       0x00006ed8        28376           1428
   91	 0x20002d2c       0x000065fc        26108           1314
   92	 0x20002d30       0x00006840        26688           1343
   93	 0x20002d34       0x00005bf8        23544           1185
   94	 0x20002d38       0x000068e8        26856           1352
   95	 0x20002d3c       0x000058b8        22712           1143
   96	 0x20002d40       0x00004f6b        20331           1023
   97	 0x20002d44       0x00004bc3        19395           976
   98	 0x20002d48       0x00005d58        23896           1203
   99	 0x20002d4c       0x000063c0        25536           1285
   100	 0x20002d50       0x00006f18        28440           1432
   101	 0x20002d54       0x000064d8        25816           1299
   102	 0x20002d58       0x00006ba8        27560           1387
   103	 0x20002d5c       0x00007512        29970           1509
   104	 0x20002d60       0x0000773e        30526           1537
   105	 0x20002d64       0x00006b58        27480           1383
   106	 0x20002d68       0x000075f5        30197           1520
   107	 0x20002d6c       0x000074f8        29944           1507
   108	 0x20002d70       0x0000779f        30623           1541
   109	 0x20002d74       0x00006ace        27342           1376
   110	 0x20002d78       0x0000769c        30364           1528
   111	 0x20002d7c       0x00006d60        28000           1409
   112	 0x20002d80       0x00006f71        28529           1436
   113	 0x20002d84       0x000065d5        26069           1312
   114	 0x20002d88       0x00006850        26704           1344
   115	 0x20002d8c       0x00005dc0        24000           1208
   116	 0x20002d90       0x0000624c        25164           1267
   117	 0x20002d94       0x0000522c        21036           1059
   118	 0x20002d98       0x000044af        17583           885
   119	 0x20002d9c       0x00005577        21879           1101
   120	 0x20002da0       0x00005dd8        24024           1209
   121	 0x20002da4       0x00006314        25364           1277
   122	 0x20002da8       0x00006f70        28528           1436
   123	 0x20002dac       0x0000653c        25916           1304
   124	 0x20002db0       0x00006a3e        27198           1369
   125	 0x20002db4       0x00005768        22376           1126
   126	 0x20002db8       0x000052ba        21178           1066
   127	 0x20002dbc       0x0000643b        25659           1292
   128	 0x20002dc0       0x00006e58        28248           1422
   129	 0x20002dc4       0x00006661        26209           1319
   130	 0x20002dc8       0x000061a0        24992           1258
   131	 0x20002dcc       0x00005259        21081           1061
   132	 0x20002dd0       0x000043e8        17384           875
   133	 0x20002dd4       0x00005728        22312           1123
   134	 0x20002dd8       0x00005247        21063           1060
   135	 0x20002ddc       0x000045b8        17848           898
   136	 0x20002de0       0x0000503e        20542           1034
   137	 0x20002de4       0x00004af8        19192           966
   138	 0x20002de8       0x00005d30        23856           1201
   139	 0x20002dec       0x0000647f        25727           1295
   140	 0x20002df0       0x00006acc        27340           1376
   141	 0x20002df4       0x00007716        30486           1535
   142	 0x20002df8       0x00006bb0        27568           1388
   143	 0x20002dfc       0x000074e6        29926           1506
   144	 0x20002e00       0x00007689        30345           1527
   145	 0x20002e04       0x00006d58        27992           1409
   146	 0x20002e08       0x00006ec4        28356           1427
   147	 0x20002e0c       0x00006689        26249           1321
   148	 0x20002e10       0x00005f89        24457           1231
   149	 0x20002e14       0x0000592b        22827           1149
   150	 0x20002e18       0x00004c08        19464           980
   151	 0x20002e1c       0x00005b70        23408           1178
   152	 0x20002e20       0x0000687c        26748           1346
   153	 0x20002e24       0x00005af8        23288           1172
   154	 0x20002e28       0x0000694b        26955           1357
   155	 0x20002e2c       0x000059a5        22949           1155
   156	 0x20002e30       0x00004baa        19370           975
   157	 0x20002e34       0x00005bb4        23476           1182
   158	 0x20002e38       0x000068ec        26860           1352
   159	 0x20002e3c       0x00005882        22658           1140
   160	 0x20002e40       0x00005108        20744           1044
   161	 0x20002e44       0x00004678        18040           908
   162	 0x20002e48       0x00004fb8        20408           1027
   163	 0x20002e4c       0x00004a8e        19086           961
   164	 0x20002e50       0x00003f40        16192           815
   165	 0x20002e54       0x00003fda        16346           823
   166	 0x20002e58       0x0000400b        16395           825
   167	 0x20002e5c       0x00003e70        15984           804
   168	 0x20002e60       0x000048ff        18687           940
   169	 0x20002e64       0x00004148        16712           841
   170	 0x20002e68       0x00003a53        14931           751
   171	 0x20002e6c       0x0000342c        13356           672
   172	 0x20002e70       0x00004804        18436           928
   173	 0x20002e74       0x00004565        17765           894
   174	 0x20002e78       0x000050d4        20692           1041
   175	 0x20002e7c       0x000048f0        18672           940
   176	 0x20002e80       0x00004094        16532           832
   177	 0x20002e84       0x00003eb4        16052           808
   178	 0x20002e88       0x00004808        18440           928
   179	 0x20002e8c       0x000045c0        17856           899
   180	 0x20002e90       0x00005040        20544           1034
   181	 0x20002e94       0x00004afc        19196           966
   182	 0x20002e98       0x00005dc8        24008           1208
   183	 0x20002e9c       0x000062d0        25296           1273
   184	 0x20002ea0       0x00006ffc        28668           1443
   185	 0x20002ea4       0x00006438        25656           1291
   186	 0x20002ea8       0x00006d1c        27932           1406
   187	 0x20002eac       0x0000713a        28986           1459
   188	 0x20002eb0       0x00005e98        24216           1219
   189	 0x20002eb4       0x00005b28        23336           1175
   190	 0x20002eb8       0x00006938        26936           1356
   191	 0x20002ebc       0x000059fb        23035           1159
   192	 0x20002ec0       0x00004b52        19282           970
   193	 0x20002ec4       0x00005e7b        24187           1217
   194	 0x20002ec8       0x000059c8        22984           1157
   195	 0x20002ecc       0x00004c89        19593           986
   196	 0x20002ed0       0x00005a00        23040           1160
   197	 0x20002ed4       0x00004c54        19540           983
   198	 0x20002ed8       0x00005aa8        23208           1168
   199	 0x20002edc       0x00006b2d        27437           1381
   200	 0x20002ee0       0x000075db        30171           1519
   201	 0x20002ee4       0x000075b8        30136           1517
   202	 0x20002ee8       0x000074b0        29872           1504
   203	 0x20002eec       0x0000787c        30844           1553
   204	 0x20002ef0       0x000066c0        26304           1324
   205	 0x20002ef4       0x00006070        24688           1243
   206	 0x20002ef8       0x00005618        22040           1109
   207	 0x20002efc       0x00005bc8        23496           1183
   208	 0x20002f00       0x000069ca        27082           1363
   209	 0x20002f04       0x000056b7        22199           1117
   210	 0x20002f08       0x000054f9        21753           1095
   211	 0x20002f0c       0x00005df0        24048           1210
   212	 0x20002f10       0x00006365        25445           1281
   213	 0x20002f14       0x00006f2d        28461           1433
   214	 0x20002f18       0x00006498        25752           1296
   215	 0x20002f1c       0x00006c14        27668           1393
   216	 0x20002f20       0x000073b8        29624           1491
   217	 0x20002f24       0x00007b6f        31599           1591
   218	 0x20002f28       0x00008120        33056           1664
   219	 0x20002f2c       0x00006a98        27288           1374
   220	 0x20002f30       0x00007670        30320           1526
   221	 0x20002f34       0x00006d9d        28061           1412
   222	 0x20002f38       0x00006ec7        28359           1427
   223	 0x20002f3c       0x00006729        26409           1329
   224	 0x20002f40       0x00005e59        24153           1216
   225	 0x20002f44       0x00006248        25160           1266
   226	 0x20002f48       0x00004fee        20462           1030
   227	 0x20002f4c       0x00004bf8        19448           979
   228	 0x20002f50       0x00005a90        23184           1167
   229	 0x20002f54       0x00004a9c        19100           961
   230	 0x20002f58       0x00003d84        15748           792
   231	 0x20002f5c       0x00004b90        19344           974
   232	 0x20002f60       0x00005b55        23381           1177
   233	 0x20002f64       0x000069c8        27080           1363
   234	 0x20002f68       0x00005700        22272           1121
   235	 0x20002f6c       0x000053f3        21491           1082
   236	 0x20002f70       0x00006115        24853           1251
   237	 0x20002f74       0x00005261        21089           1061
   238	 0x20002f78       0x0000453e        17726           892
   239	 0x20002f7c       0x000051b0        20912           1053
   240	 0x20002f80       0x00004630        17968           904
   241	 0x20002f84       0x00004e68        20072           1010
   242	 0x20002f88       0x000055e4        21988           1107
   243	 0x20002f8c       0x00005b61        23393           1177
   244	 0x20002f90       0x000069ea        27114           1365
   245	 0x20002f94       0x00005638        22072           1111
   246	 0x20002f98       0x00005c5a        23642           1190
   247	 0x20002f9c       0x00006638        26168           1317
   248	 0x20002fa0       0x000068ba        26810           1349
   249	 0x20002fa4       0x00005921        22817           1148
   250	 0x20002fa8       0x00004dd8        19928           1003
   251	 0x20002fac       0x0000555f        21855           1100
   252	 0x20002fb0       0x00005e00        24064           1211
   253	 0x20002fb4       0x000061b8        25016           1259
   254	 0x20002fb8       0x00005234        21044           1059
   255	 0x20002fbc       0x00004451        17489           880

Report for buffer size 256
