
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff0c4       0x00005733        22323           1124
   1	 0x1ffff0c8       0x00005257        21079           1061
   2	 0x1ffff0cc       0x0000446d        17517           882
   3	 0x1ffff0d0       0x00005678        22136           1114
   4	 0x1ffff0d4       0x00005e3c        24124           1214
   5	 0x1ffff0d8       0x00006328        25384           1278
   6	 0x1ffff0dc       0x00007219        29209           1470
   7	 0x1ffff0e0       0x0000610c        24844           1250
   8	 0x1ffff0e4       0x000053cc        21452           1080
   9	 0x1ffff0e8       0x000064c8        25800           1299
   10	 0x1ffff0ec       0x00006d6d        28013           1410
   11	 0x1ffff0f0       0x00007248        29256           1473
   12	 0x1ffff0f4       0x00008438        33848           1704
   13	 0x1ffff0f8       0x000086d2        34514           1737
   14	 0x1ffff0fc       0x00007a89        31369           1579
   15	 0x1ffff100       0x0000893a        35130           1768
   16	 0x1ffff104       0x00007274        29300           1475
   17	 0x1ffff108       0x00008338        33592           1691
   18	 0x1ffff10c       0x00008a72        35442           1784
   19	 0x1ffff110       0x00009308        37640           1895
   20	 0x1ffff114       0x00009b9f        39839           2006
   21	 0x1ffff118       0x00009cb8        40120           2020
   22	 0x1ffff11c       0x00009a6c        39532           1990
   23	 0x1ffff120       0x0000a0c2        41154           2072
   24	 0x1ffff124       0x00008724        34596           1742
   25	 0x1ffff128       0x00007bb4        31668           1594
   26	 0x1ffff12c       0x000084f8        34040           1714
   27	 0x1ffff130       0x00008564        34148           1719
   28	 0x1ffff134       0x00008550        34128           1718
   29	 0x1ffff138       0x00008578        34168           1720
   30	 0x1ffff13c       0x00008679        34425           1733
   31	 0x1ffff140       0x00007a8c        31372           1579
   32	 0x1ffff144       0x000086fa        34554           1739
   33	 0x1ffff148       0x00007b58        31576           1589
   34	 0x1ffff14c       0x0000869f        34463           1735
   35	 0x1ffff150       0x00007bb7        31671           1594
   36	 0x1ffff154       0x000084b0        33968           1710
   37	 0x1ffff158       0x00008638        34360           1730
   38	 0x1ffff15c       0x00007db8        32184           1620
   39	 0x1ffff160       0x00007f10        32528           1637
   40	 0x1ffff164       0x00007328        29480           1484
   41	 0x1ffff168       0x000080a0        32928           1658
   42	 0x1ffff16c       0x00006d09        27913           1405
   43	 0x1ffff170       0x0000761b        30235           1522
   44	 0x1ffff174       0x00006f97        28567           1438
   45	 0x1ffff178       0x000065f8        26104           1314
   46	 0x1ffff17c       0x00006c44        27716           1395
   47	 0x1ffff180       0x000077a2        30626           1542
   48	 0x1ffff184       0x00006d5a        27994           1409
   49	 0x1ffff188       0x000071ee        29166           1468
   50	 0x1ffff18c       0x00005e21        24097           1213
   51	 0x1ffff190       0x0000670d        26381           1328
   52	 0x1ffff194       0x000060b8        24760           1246
   53	 0x1ffff198       0x00005518        21784           1096
   54	 0x1ffff19c       0x00005f7b        24443           1230
   55	 0x1ffff1a0       0x000058e9        22761           1146
   56	 0x1ffff1a4       0x00005078        20600           1037
   57	 0x1ffff1a8       0x0000497b        18811           947
   58	 0x1ffff1ac       0x00003f90        16272           819
   59	 0x1ffff1b0       0x00003f3f        16191           815
   60	 0x1ffff1b4       0x00004092        16530           832
   61	 0x1ffff1b8       0x00003de2        15842           797
   62	 0x1ffff1bc       0x000049f8        18936           953
   63	 0x1ffff1c0       0x00003ce8        15592           785
   64	 0x1ffff1c4       0x00005053        20563           1035
   65	 0x1ffff1c8       0x00004ab0        19120           962
   66	 0x1ffff1cc       0x00003d0e        15630           787
   67	 0x1ffff1d0       0x00004d8d        19853           999
   68	 0x1ffff1d4       0x0000585f        22623           1139
   69	 0x1ffff1d8       0x000052ff        21247           1069
   70	 0x1ffff1dc       0x00006620        26144           1316
   71	 0x1ffff1e0       0x00006a76        27254           1372
   72	 0x1ffff1e4       0x00007bdf        31711           1596
   73	 0x1ffff1e8       0x00008508        34056           1714
   74	 0x1ffff1ec       0x000086fa        34554           1739
   75	 0x1ffff1f0       0x00007888        30856           1553
   76	 0x1ffff1f4       0x0000694d        26957           1357
   77	 0x1ffff1f8       0x00005b8d        23437           1180
   78	 0x1ffff1fc       0x00006bc9        27593           1389
   79	 0x1ffff200       0x00007912        30994           1560
   80	 0x1ffff204       0x000066c8        26312           1324
   81	 0x1ffff208       0x00006158        24920           1254
   82	 0x1ffff20c       0x0000561f        22047           1110
   83	 0x1ffff210       0x00005d48        23880           1202
   84	 0x1ffff214       0x0000665b        26203           1319
   85	 0x1ffff218       0x0000626b        25195           1268
   86	 0x1ffff21c       0x00005118        20760           1045
   87	 0x1ffff220       0x0000493d        18749           944
   88	 0x1ffff224       0x00003f38        16184           814
   89	 0x1ffff228       0x00003fd9        16345           823
   90	 0x1ffff22c       0x00003f38        16184           814
   91	 0x1ffff230       0x00003ff8        16376           824
   92	 0x1ffff234       0x00003ebc        16060           808
   93	 0x1ffff238       0x00004732        18226           917
   94	 0x1ffff23c       0x0000478d        18317           922
   95	 0x1ffff240       0x000046f0        18160           914
   96	 0x1ffff244       0x00004678        18040           908
   97	 0x1ffff248       0x00005008        20488           1031
   98	 0x1ffff24c       0x00004ab7        19127           963
   99	 0x1ffff250       0x00003d10        15632           787
   100	 0x1ffff254       0x00004fe0        20448           1029
   101	 0x1ffff258       0x00004a5a        19034           958
   102	 0x1ffff25c       0x00003d64        15716           791
   103	 0x1ffff260       0x00004c24        19492           981
   104	 0x1ffff264       0x00005d68        23912           1204
   105	 0x1ffff268       0x000066f3        26355           1327
   106	 0x1ffff26c       0x0000604b        24651           1241
   107	 0x1ffff270       0x0000585e        22622           1139
   108	 0x1ffff274       0x00005279        21113           1063
   109	 0x1ffff278       0x000042d6        17110           861
   110	 0x1ffff27c       0x000036c8        14024           706
   111	 0x1ffff280       0x00004098        16536           832
   112	 0x1ffff284       0x00003d98        15768           793
   113	 0x1ffff288       0x00004ca2        19618           987
   114	 0x1ffff28c       0x00005af8        23288           1172
   115	 0x1ffff290       0x00006ce7        27879           1403
   116	 0x1ffff294       0x0000744a        29770           1499
   117	 0x1ffff298       0x00007c58        31832           1602
   118	 0x1ffff29c       0x00008459        33881           1706
   119	 0x1ffff2a0       0x00008618        34328           1728
   120	 0x1ffff2a4       0x00007beb        31723           1597
   121	 0x1ffff2a8       0x000085b9        34233           1723
   122	 0x1ffff2ac       0x000084d8        34008           1712
   123	 0x1ffff2b0       0x000087cc        34764           1750
   124	 0x1ffff2b4       0x0000767e        30334           1527
   125	 0x1ffff2b8       0x00007091        28817           1451
   126	 0x1ffff2bc       0x00006360        25440           1281
   127	 0x1ffff2c0       0x00007298        29336           1477
   128	 0x1ffff2c4       0x0000829d        33437           1683
   129	 0x1ffff2c8       0x00008beb        35819           1803
   130	 0x1ffff2cc       0x00009020        36896           1857
   131	 0x1ffff2d0       0x00007d10        32016           1612
   132	 0x1ffff2d4       0x00008053        32851           1654
   133	 0x1ffff2d8       0x00006f38        28472           1433
   134	 0x1ffff2dc       0x000066a2        26274           1323
   135	 0x1ffff2e0       0x00006388        25480           1283
   136	 0x1ffff2e4       0x00007280        29312           1475
   137	 0x1ffff2e8       0x000080bc        32956           1659
   138	 0x1ffff2ec       0x00006ded        28141           1417
   139	 0x1ffff2f0       0x00007220        29216           1471
   140	 0x1ffff2f4       0x00005fe3        24547           1236
   141	 0x1ffff2f8       0x000058e1        22753           1145
   142	 0x1ffff2fc       0x00004cdd        19677           990
   143	 0x1ffff300       0x00005ac8        23240           1170
   144	 0x1ffff304       0x00006e5c        28252           1422
   145	 0x1ffff308       0x000068f0        26864           1352
   146	 0x1ffff30c       0x00005b98        23448           1180
   147	 0x1ffff310       0x00006a28        27176           1368
   148	 0x1ffff314       0x0000591e        22814           1148
   149	 0x1ffff318       0x00004e91        20113           1012
   150	 0x1ffff31c       0x00005598        21912           1103
   151	 0x1ffff320       0x00005fa2        24482           1232
   152	 0x1ffff324       0x00005858        22616           1138
   153	 0x1ffff328       0x000051d3        20947           1054
   154	 0x1ffff32c       0x00004689        18057           909
   155	 0x1ffff330       0x00004ec8        20168           1015
   156	 0x1ffff334       0x00004e28        20008           1007
   157	 0x1ffff338       0x00005730        22320           1123
   158	 0x1ffff33c       0x0000540a        21514           1083
   159	 0x1ffff340       0x000065f1        26097           1314
   160	 0x1ffff344       0x00006961        26977           1358
   161	 0x1ffff348       0x00005a38        23096           1162
   162	 0x1ffff34c       0x00004b55        19285           971
   163	 0x1ffff350       0x00005fbc        24508           1234
   164	 0x1ffff354       0x000059af        22959           1156
   165	 0x1ffff358       0x00004a6e        19054           959
   166	 0x1ffff35c       0x00003e98        16024           806
   167	 0x1ffff360       0x00004974        18804           946
   168	 0x1ffff364       0x00003f1e        16158           813
   169	 0x1ffff368       0x00004118        16664           839
   170	 0x1ffff36c       0x000038fc        14588           734
   171	 0x1ffff370       0x0000350c        13580           683
   172	 0x1ffff374       0x00004951        18769           945
   173	 0x1ffff378       0x00003f44        16196           815
   174	 0x1ffff37c       0x00004098        16536           832
   175	 0x1ffff380       0x00003c57        15447           777
   176	 0x1ffff384       0x00004fff        20479           1031
   177	 0x1ffff388       0x00004c70        19568           985
   178	 0x1ffff38c       0x00005af8        23288           1172
   179	 0x1ffff390       0x00006df4        28148           1417
   180	 0x1ffff394       0x000072b1        29361           1478
   181	 0x1ffff398       0x00008104        33028           1663
   182	 0x1ffff39c       0x00006d12        27922           1405
   183	 0x1ffff3a0       0x0000730f        29455           1483
   184	 0x1ffff3a4       0x00008108        33032           1663
   185	 0x1ffff3a8       0x00006e8d        28301           1425
   186	 0x1ffff3ac       0x00006805        26629           1340
   187	 0x1ffff3b0       0x00005eae        24238           1220
   188	 0x1ffff3b4       0x00005b5e        23390           1177
   189	 0x1ffff3b8       0x00006d08        27912           1405
   190	 0x1ffff3bc       0x00007554        30036           1512
   191	 0x1ffff3c0       0x00007868        30824           1552
   192	 0x1ffff3c4       0x0000694c        26956           1357
   193	 0x1ffff3c8       0x00005ad3        23251           1170
   194	 0x1ffff3cc       0x00006ddb        28123           1416
   195	 0x1ffff3d0       0x00007307        29447           1482
   196	 0x1ffff3d4       0x00007fac        32684           1645
   197	 0x1ffff3d8       0x0000729b        29339           1477
   198	 0x1ffff3dc       0x00008268        33384           1681
   199	 0x1ffff3e0       0x00008d58        36184           1822
   200	 0x1ffff3e4       0x00008c09        35849           1805
   201	 0x1ffff3e8       0x00008dd8        36312           1828
   202	 0x1ffff3ec       0x00008271        33393           1681
   203	 0x1ffff3f0       0x00009044        36932           1859
   204	 0x1ffff3f4       0x00007b28        31528           1587
   205	 0x1ffff3f8       0x000086d7        34519           1738
   206	 0x1ffff3fc       0x00007a5e        31326           1577
   207	 0x1ffff400       0x00008928        35112           1768
   208	 0x1ffff404       0x00007457        29783           1499
   209	 0x1ffff408       0x00007b60        31584           1590
   210	 0x1ffff40c       0x000086ab        34475           1735
   211	 0x1ffff410       0x00007ae8        31464           1584
   212	 0x1ffff414       0x000087cf        34767           1750
   213	 0x1ffff418       0x0000798c        31116           1566
   214	 0x1ffff41c       0x0000653c        25916           1304
   215	 0x1ffff420       0x00006e68        28264           1423
   216	 0x1ffff424       0x00006957        26967           1357
   217	 0x1ffff428       0x00005a83        23171           1166
   218	 0x1ffff42c       0x00004b0e        19214           967
   219	 0x1ffff430       0x00005ef8        24312           1224
   220	 0x1ffff434       0x00005bf1        23537           1185
   221	 0x1ffff438       0x00006b9e        27550           1387
   222	 0x1ffff43c       0x000077e3        30691           1545
   223	 0x1ffff440       0x00006c88        27784           1399
   224	 0x1ffff444       0x00007454        29780           1499
   225	 0x1ffff448       0x00007c88        31880           1605
   226	 0x1ffff44c       0x000083bb        33723           1698
   227	 0x1ffff450       0x0000899b        35227           1773
   228	 0x1ffff454       0x00007244        29252           1472
   229	 0x1ffff458       0x0000827e        33406           1682
   230	 0x1ffff45c       0x00008dfb        36347           1830
   231	 0x1ffff460       0x000083f8        33784           1701
   232	 0x1ffff464       0x000086e0        34528           1738
   233	 0x1ffff468       0x000079f8        31224           1572
   234	 0x1ffff46c       0x00006638        26168           1317
   235	 0x1ffff470       0x00006b33        27443           1381
   236	 0x1ffff474       0x00007af0        31472           1584
   237	 0x1ffff478       0x000085ec        34284           1726
   238	 0x1ffff47c       0x00007ca8        31912           1606
   239	 0x1ffff480       0x0000835a        33626           1693
   240	 0x1ffff484       0x00008b1c        35612           1793
   241	 0x1ffff488       0x00009298        37528           1889
   242	 0x1ffff48c       0x000099f0        39408           1984
   243	 0x1ffff490       0x0000a24f        41551           2092
   244	 0x1ffff494       0x0000aaf1        43761           2203
   245	 0x1ffff498       0x0000acd8        44248           2228
   246	 0x1ffff49c       0x0000a6c6        42694           2149
   247	 0x1ffff4a0       0x000094d0        38096           1918
   248	 0x1ffff4a4       0x000093b1        37809           1903
   249	 0x1ffff4a8       0x000099f0        39408           1984
   250	 0x1ffff4ac       0x0000a18c        41356           2082
   251	 0x1ffff4b0       0x0000aa38        43576           2194
   252	 0x1ffff4b4       0x0000afb9        44985           2265
   253	 0x1ffff4b8       0x00009738        38712           1949
   254	 0x1ffff4bc       0x0000871a        34586           1741
   255	 0x1ffff4c0       0x00007851        30801           1550
   256	 0x1ffff4c4       0x00006a1b        27163           1367
   257	 0x1ffff4c8       0x000059a9        22953           1155
   258	 0x1ffff4cc       0x00004bc1        19393           976
   259	 0x1ffff4d0       0x00005eed        24301           1223
   260	 0x1ffff4d4       0x00005a9c        23196           1168
   261	 0x1ffff4d8       0x00006daa        28074           1413
   262	 0x1ffff4dc       0x0000746c        29804           1500
   263	 0x1ffff4e0       0x00007b08        31496           1585
   264	 0x1ffff4e4       0x00008768        34664           1745
   265	 0x1ffff4e8       0x000078b8        30904           1556
   266	 0x1ffff4ec       0x000068e8        26856           1352
   267	 0x1ffff4f0       0x00005c0c        23564           1186
   268	 0x1ffff4f4       0x000069e1        27105           1364
   269	 0x1ffff4f8       0x00005768        22376           1126
   270	 0x1ffff4fc       0x0000551c        21788           1097
   271	 0x1ffff500       0x000060f8        24824           1249
   272	 0x1ffff504       0x000054a9        21673           1091
   273	 0x1ffff508       0x00006203        25091           1263
   274	 0x1ffff50c       0x00005148        20808           1047
   275	 0x1ffff510       0x000048d0        18640           938
   276	 0x1ffff514       0x00004359        17241           868
   277	 0x1ffff518       0x00005837        22583           1137
   278	 0x1ffff51c       0x0000511c        20764           1045
   279	 0x1ffff520       0x000046f8        18168           914
   280	 0x1ffff524       0x000048ca        18634           938
   281	 0x1ffff528       0x00004308        17160           864
   282	 0x1ffff52c       0x000057fa        22522           1134
   283	 0x1ffff530       0x00005241        21057           1060
   284	 0x1ffff534       0x0000448b        17547           883
   285	 0x1ffff538       0x0000574f        22351           1125
   286	 0x1ffff53c       0x00005370        21360           1075
   287	 0x1ffff540       0x00006429        25641           1291
   288	 0x1ffff544       0x00007287        29319           1476
   289	 0x1ffff548       0x0000824c        33356           1679
   290	 0x1ffff54c       0x00008e98        36504           1838
   291	 0x1ffff550       0x0000809d        32925           1657
   292	 0x1ffff554       0x00006cfc        27900           1404
   293	 0x1ffff558       0x000075e5        30181           1519
   294	 0x1ffff55c       0x000078a2        30882           1555
   295	 0x1ffff560       0x00006914        26900           1354
   296	 0x1ffff564       0x00005a63        23139           1165
   297	 0x1ffff568       0x00004a80        19072           960
   298	 0x1ffff56c       0x00003ec1        16065           808
   299	 0x1ffff570       0x00004808        18440           928
   300	 0x1ffff574       0x000042d0        17104           861
   301	 0x1ffff578       0x000037f1        14321           721
   302	 0x1ffff57c       0x00003805        14341           722
   303	 0x1ffff580       0x00003889        14473           728
   304	 0x1ffff584       0x0000353a        13626           686
   305	 0x1ffff588       0x00004422        17442           878
   306	 0x1ffff58c       0x000058a8        22696           1142
   307	 0x1ffff590       0x00004e98        20120           1013
   308	 0x1ffff594       0x000056a1        22177           1116
