
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff13c       0x0000542c        21548           1085
   1	 0x1ffff140       0x000060e4        24804           1248
   2	 0x1ffff144       0x000052c9        21193           1067
   3	 0x1ffff148       0x000062b8        25272           1272
   4	 0x1ffff14c       0x000070c2        28866           1453
   5	 0x1ffff150       0x00005ee2        24290           1223
   6	 0x1ffff154       0x000059ee        23022           1159
   7	 0x1ffff158       0x00004b18        19224           968
   8	 0x1ffff15c       0x00005d58        23896           1203
   9	 0x1ffff160       0x00006358        25432           1280
   10	 0x1ffff164       0x00006d7c        28028           1411
   11	 0x1ffff168       0x00006f9c        28572           1438
   12	 0x1ffff16c       0x000062c8        25288           1273
   13	 0x1ffff170       0x00006f3a        28474           1433
   14	 0x1ffff174       0x0000654b        25931           1305
   15	 0x1ffff178       0x000068fa        26874           1353

		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff13c       0x00005958        22872           1151
   1	 0x1ffff140       0x00004e44        20036           1008
   2	 0x1ffff144       0x000054fd        21757           1095
   3	 0x1ffff148       0x00005f0d        24333           1225
   4	 0x1ffff14c       0x000058e8        22760           1146
   5	 0x1ffff150       0x00004cd0        19664           990
   6	 0x1ffff154       0x00005b13        23315           1174
   7	 0x1ffff158       0x000068e7        26855           1352
   8	 0x1ffff15c       0x00005a6d        23149           1165
   9	 0x1ffff160       0x00004a2f        18991           956
   10	 0x1ffff164       0x00004078        16504           831
   11	 0x1ffff168       0x00003e5c        15964           803
   12	 0x1ffff16c       0x000049a0        18848           949
   13	 0x1ffff170       0x000040ad        16557           833
   14	 0x1ffff174       0x00003d52        15698           790
   15	 0x1ffff178       0x00004c58        19544           984

		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff13c       0x000058d0        22736           1144
   1	 0x1ffff140       0x00004de0        19936           1003
   2	 0x1ffff144       0x0000562b        22059           1110
   3	 0x1ffff148       0x00005a8d        23181           1167
   4	 0x1ffff14c       0x00004bb4        19380           975
   5	 0x1ffff150       0x00005b18        23320           1174
   6	 0x1ffff154       0x00006a60        27232           1371
   7	 0x1ffff158       0x00007554        30036           1512
   8	 0x1ffff15c       0x0000761e        30238           1522
   9	 0x1ffff160       0x00006c18        27672           1393
   10	 0x1ffff164       0x00007463        29795           1500
   11	 0x1ffff168       0x000076d8        30424           1531
   12	 0x1ffff16c       0x00006c48        27720           1395
   13	 0x1ffff170       0x000072a7        29351           1477
   14	 0x1ffff174       0x00007d58        32088           1615
   15	 0x1ffff178       0x00007aeb        31467           1584

		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff13c       0x00007fa1        32673           1645
   1	 0x1ffff140       0x00006f58        28504           1435
   2	 0x1ffff144       0x0000631f        25375           1277
   3	 0x1ffff148       0x00007080        28800           1450
   4	 0x1ffff14c       0x00005f5c        24412           1229
   5	 0x1ffff150       0x00005983        22915           1153
   6	 0x1ffff154       0x00004c2c        19500           981
   7	 0x1ffff158       0x00005bd3        23507           1183
   8	 0x1ffff15c       0x00006768        26472           1332
   9	 0x1ffff160       0x00005da9        23977           1207
   10	 0x1ffff164       0x000062c0        25280           1272
   11	 0x1ffff168       0x00007028        28712           1445
   12	 0x1ffff16c       0x00006258        25176           1267
   13	 0x1ffff170       0x00005113        20755           1045
   14	 0x1ffff174       0x0000482c        18476           930
   15	 0x1ffff178       0x0000447c        17532           882

		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff13c       0x000054cd        21709           1093
   1	 0x1ffff140       0x00005dce        24014           1209
   2	 0x1ffff144       0x00006369        25449           1281
   3	 0x1ffff148       0x00006e83        28291           1424
