
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff0c0       0x00005211        21009           1057
   1	 0x1ffff0c4       0x00004349        17225           867
   2	 0x1ffff0c8       0x00005948        22856           1150
   3	 0x1ffff0cc       0x00004d68        19816           997
   4	 0x1ffff0d0       0x0000598a        22922           1154
   5	 0x1ffff0d4       0x00004c50        19536           983
   6	 0x1ffff0d8       0x00005c18        23576           1187
   7	 0x1ffff0dc       0x00006c3e        27710           1395
   8	 0x1ffff0e0       0x00007743        30531           1537
   9	 0x1ffff0e4       0x00006c30        27696           1394
   10	 0x1ffff0e8       0x0000789a        30874           1554
   11	 0x1ffff0ec       0x00006910        26896           1354
   12	 0x1ffff0f0       0x00005bdb        23515           1184
   13	 0x1ffff0f4       0x00006a8c        27276           1373
   14	 0x1ffff0f8       0x000079e0        31200           1571
   15	 0x1ffff0fc       0x00006749        26441           1331
   16	 0x1ffff100       0x000061d0        25040           1260
   17	 0x1ffff104       0x000051fb        20987           1056
   18	 0x1ffff108       0x000043f7        17399           876
   19	 0x1ffff10c       0x0000576d        22381           1126
   20	 0x1ffff110       0x00005550        21840           1099
   21	 0x1ffff114       0x00006020        24608           1239
   22	 0x1ffff118       0x00005737        22327           1124
   23	 0x1ffff11c       0x000053c8        21448           1079
   24	 0x1ffff120       0x00006490        25744           1296
   25	 0x1ffff124       0x00006fc2        28610           1440
   26	 0x1ffff128       0x00006568        25960           1307
   27	 0x1ffff12c       0x00006b69        27497           1384
   28	 0x1ffff130       0x00007a60        31328           1577
   29	 0x1ffff134       0x00008928        35112           1768
   30	 0x1ffff138       0x00007337        29495           1485
   31	 0x1ffff13c       0x0000805f        32863           1654
   32	 0x1ffff140       0x00006df4        28148           1417
   33	 0x1ffff144       0x0000737f        29567           1488
   34	 0x1ffff148       0x00007f9c        32668           1644
   35	 0x1ffff14c       0x00007160        29024           1461
   36	 0x1ffff150       0x0000602a        24618           1239
   37	 0x1ffff154       0x000057d0        22480           1131
   38	 0x1ffff158       0x000053f0        21488           1082
   39	 0x1ffff15c       0x000063cc        25548           1286
   40	 0x1ffff160       0x0000701f        28703           1445
   41	 0x1ffff164       0x00006690        26256           1322
   42	 0x1ffff168       0x000062bc        25276           1272
   43	 0x1ffff16c       0x000075c8        30152           1518
   44	 0x1ffff170       0x0000779c        30620           1541
   45	 0x1ffff174       0x00006b98        27544           1386
   46	 0x1ffff178       0x000079e8        31208           1571
   47	 0x1ffff17c       0x0000667b        26235           1321
   48	 0x1ffff180       0x000061bf        25023           1260
   49	 0x1ffff184       0x000052a0        21152           1065
   50	 0x1ffff188       0x00004368        17256           868
   51	 0x1ffff18c       0x00005a37        23095           1162
   52	 0x1ffff190       0x00004b34        19252           969
   53	 0x1ffff194       0x00005e40        24128           1214
   54	 0x1ffff198       0x000064f0        25840           1301
   55	 0x1ffff19c       0x00006e40        28224           1421
   56	 0x1ffff1a0       0x00006a22        27170           1368
   57	 0x1ffff1a4       0x000057ea        22506           1133
   58	 0x1ffff1a8       0x000050d0        20688           1041
   59	 0x1ffff1ac       0x00004972        18802           946
   60	 0x1ffff1b0       0x0000403e        16446           828
   61	 0x1ffff1b4       0x00003c7b        15483           779
   62	 0x1ffff1b8       0x00004f98        20376           1026
   63	 0x1ffff1bc       0x00004bd7        19415           977
   64	 0x1ffff1c0       0x000060bd        24765           1247
   65	 0x1ffff1c4       0x00005503        21763           1095
   66	 0x1ffff1c8       0x00005f05        24325           1224
   67	 0x1ffff1cc       0x00005b2a        23338           1175
   68	 0x1ffff1d0       0x00006d60        28000           1409
   69	 0x1ffff1d4       0x000072c8        29384           1479
   70	 0x1ffff1d8       0x00008298        33432           1683
   71	 0x1ffff1dc       0x00008b18        35608           1793
   72	 0x1ffff1e0       0x00009368        37736           1900
   73	 0x1ffff1e4       0x00009940        39232           1975
   74	 0x1ffff1e8       0x00007f58        32600           1641
   75	 0x1ffff1ec       0x000072a8        29352           1477
   76	 0x1ffff1f0       0x00008100        33024           1662
   77	 0x1ffff1f4       0x00006dc3        28099           1414
   78	 0x1ffff1f8       0x000072fd        29437           1482
   79	 0x1ffff1fc       0x00007fe9        32745           1648
   80	 0x1ffff200       0x00007199        29081           1464
   81	 0x1ffff204       0x00006058        24664           1241
   82	 0x1ffff208       0x000057b2        22450           1130
   83	 0x1ffff20c       0x00005317        21271           1071
   84	 0x1ffff210       0x0000654d        25933           1305
   85	 0x1ffff214       0x00006e3c        28220           1420
   86	 0x1ffff218       0x00006ab7        27319           1375
   87	 0x1ffff21c       0x00007a52        31314           1576
   88	 0x1ffff220       0x00008921        35105           1767
   89	 0x1ffff224       0x0000726c        29292           1474
   90	 0x1ffff228       0x000082c4        33476           1685
   91	 0x1ffff22c       0x00008e87        36487           1837
   92	 0x1ffff230       0x00008127        33063           1664
   93	 0x1ffff234       0x00006c97        27799           1399
   94	 0x1ffff238       0x0000757b        30075           1514
   95	 0x1ffff23c       0x000079ca        31178           1569
   96	 0x1ffff240       0x00006735        26421           1330
   97	 0x1ffff244       0x00006038        24632           1240
   98	 0x1ffff248       0x000057ac        22444           1130
   99	 0x1ffff24c       0x0000534b        21323           1073
   100	 0x1ffff250       0x000065ff        26111           1314
   101	 0x1ffff254       0x00006b98        27544           1386
   102	 0x1ffff258       0x000077f0        30704           1546
   103	 0x1ffff25c       0x00006ba1        27553           1387
   104	 0x1ffff260       0x00007ae8        31464           1584
   105	 0x1ffff264       0x000086d0        34512           1737
   106	 0x1ffff268       0x00007abf        31423           1582
   107	 0x1ffff26c       0x000087c8        34760           1750
   108	 0x1ffff270       0x00007831        30769           1549
   109	 0x1ffff274       0x00006b99        27545           1387
   110	 0x1ffff278       0x000077c8        30664           1544
   111	 0x1ffff27c       0x00006c38        27704           1395
   112	 0x1ffff280       0x00007808        30728           1547
   113	 0x1ffff284       0x00006caa        27818           1400
   114	 0x1ffff288       0x0000751f        29983           1509
   115	 0x1ffff28c       0x000079b7        31159           1568
   116	 0x1ffff290       0x000066a6        26278           1323
   117	 0x1ffff294       0x0000633c        25404           1279
   118	 0x1ffff298       0x0000736a        29546           1487
   119	 0x1ffff29c       0x0000800d        32781           1650
   120	 0x1ffff2a0       0x00006dd8        28120           1415
   121	 0x1ffff2a4       0x000071a7        29095           1465
   122	 0x1ffff2a8       0x00006265        25189           1268
   123	 0x1ffff2ac       0x00005082        20610           1037
   124	 0x1ffff2b0       0x00004aa0        19104           961
   125	 0x1ffff2b4       0x00003c70        15472           779
   126	 0x1ffff2b8       0x00004f54        20308           1022
   127	 0x1ffff2bc       0x00004e88        20104           1012
   128	 0x1ffff2c0       0x000055a0        21920           1103
   129	 0x1ffff2c4       0x00005fd1        24529           1235
   130	 0x1ffff2c8       0x0000589c        22684           1142
   131	 0x1ffff2cc       0x00004ec8        20168           1015
   132	 0x1ffff2d0       0x00004f12        20242           1019
   133	 0x1ffff2d4       0x00004cde        19678           990
   134	 0x1ffff2d8       0x00005930        22832           1149
   135	 0x1ffff2dc       0x00004f59        20313           1022
   136	 0x1ffff2e0       0x00004cd8        19672           990
   137	 0x1ffff2e4       0x00005a41        23105           1163
   138	 0x1ffff2e8       0x00004a2e        18990           956
   139	 0x1ffff2ec       0x00003d80        15744           792
   140	 0x1ffff2f0       0x00004d90        19856           999
   141	 0x1ffff2f4       0x00005838        22584           1137
   142	 0x1ffff2f8       0x000050e2        20706           1042
   143	 0x1ffff2fc       0x0000479b        18331           923
   144	 0x1ffff300       0x00004609        17929           902
   145	 0x1ffff304       0x00005260        21088           1061
   146	 0x1ffff308       0x00004328        17192           865
   147	 0x1ffff30c       0x00005798        22424           1129
   148	 0x1ffff310       0x000053e0        21472           1081
   149	 0x1ffff314       0x000064ab        25771           1297
   150	 0x1ffff318       0x00006f28        28456           1432
   151	 0x1ffff31c       0x00006677        26231           1320
   152	 0x1ffff320       0x000061d8        25048           1261
   153	 0x1ffff324       0x00005400        21504           1082
   154	 0x1ffff328       0x00006438        25656           1291
   155	 0x1ffff32c       0x00007143        28995           1460
   156	 0x1ffff330       0x00006084        24708           1244
   157	 0x1ffff334       0x00005444        21572           1086
   158	 0x1ffff338       0x00006598        26008           1309
   159	 0x1ffff33c       0x00006b7c        27516           1385
   160	 0x1ffff340       0x00007830        30768           1549
   161	 0x1ffff344       0x00006a64        27236           1371
   162	 0x1ffff348       0x00007b48        31560           1589
   163	 0x1ffff34c       0x000087c1        34753           1749
   164	 0x1ffff350       0x000077a7        30631           1542
   165	 0x1ffff354       0x00006b40        27456           1382
   166	 0x1ffff358       0x00007b88        31624           1592
   167	 0x1ffff35c       0x00008678        34424           1733
   168	 0x1ffff360       0x00007c08        31752           1598
   169	 0x1ffff364       0x000083ac        33708           1697
   170	 0x1ffff368       0x000089e8        35304           1777
   171	 0x1ffff36c       0x000096d8        38616           1944
   172	 0x1ffff370       0x000087c0        34752           1749
   173	 0x1ffff374       0x00007808        30728           1547
   174	 0x1ffff378       0x00006b38        27448           1382
   175	 0x1ffff37c       0x00007937        31031           1562
   176	 0x1ffff380       0x00006961        26977           1358
   177	 0x1ffff384       0x000059d8        23000           1158
   178	 0x1ffff388       0x00004a10        18960           954
   179	 0x1ffff38c       0x00003f0d        16141           812
   180	 0x1ffff390       0x000040ba        16570           834
   181	 0x1ffff394       0x00003df5        15861           798
   182	 0x1ffff398       0x00004a5c        19036           958
   183	 0x1ffff39c       0x00003bf0        15344           772
   184	 0x1ffff3a0       0x00005218        21016           1058
   185	 0x1ffff3a4       0x000044f8        17656           889
   186	 0x1ffff3a8       0x00005394        21396           1077
   187	 0x1ffff3ac       0x0000653c        25916           1304
   188	 0x1ffff3b0       0x00006c8c        27788           1399
   189	 0x1ffff3b4       0x00007642        30274           1524
   190	 0x1ffff3b8       0x0000706c        28780           1449
   191	 0x1ffff3bc       0x000061cb        25035           1260
   192	 0x1ffff3c0       0x000052a1        21153           1065
